Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12, C13, C14, C15, C2, C3, C6",0402,8,4.7uF,C23733
"C4, C5",0603,2,30pF,C1658
D1,0805,1,Green LED,C2297
J2,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB-C Receptacle,C2765186
P1,USB-C-SMD_TYPE-C-31-G-07-1,1,Switched USB-C,C3148223
"R1, R7, R8",0402,3,R 510 0402,C25123
"R2, R3, R4, R5, R6, R9",0402,6,R 5.1k 0402,C25905
U1,SOT-23-3,1,3.3V LDO,C5446
U16,SO-4_4.4x3.9mm_P2.54mm,1,TLP3123,C20624244
U2,QFN-24-1EP_4x4mm_P0.5mm_EP2.7x2.7mm,1,CH334F,C5187527
U3,QFN-10_1.4x1.8_Pitch0.4mm,1,EMS4000RSW,C49186227
U4,QFN-28_4x4mm_P0.5mm,1,STM32F042G6Ux,C961597
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,"12 MHz, 20pF",C9002
