Designator,Mid X,Mid Y,Rotation,Layer
C1,120.5484,-48.3616,180.0,top
C12,124.8918,-55.0164,270.0,top
C13,118.5672,-54.102,90.0,top
C14,118.618,-56.4642,180.0,top
C15,108.521399,-47.343,270.0,top
C2,125.0442,-48.8696,270.0,top
C3,113.2078,-55.8546,270.0,top
C4,110.7824,-61.1378,180.0,top
C5,110.7812,-59.6646,180.0,top
C6,121.8438,-57.5818,270.0,top
D1,107.6198,-59.8932,180.0,top
J2,106.7816,-53.6194,270.0,top
P1,127.5328,-54.1012,90.0,top
R1,108.3584,-61.3156,180.0,top
R10,106.5042,-61.341,0.0,top
R2,118.7958,-50.7238,90.0,top
R3,118.6434,-48.1838,180.0,top
R4,113.1824,-50.1904,90.0,top
R5,125.0442,-52.1462,270.0,top
R7,113.2078,-52.1462,90.0,top
R8,113.2078,-54.0024,90.0,top
R9,109.982,-47.7266,0.0,top
U1,122.5097,-49.4132,0.0,top
U16,115.875,-52.47,90.0,top
U2,118.7342,-59.603,90.0,top
U3,106.616399,-47.0408,0.0,top
U4,121.805,-54.0,90.0,top
Y1,114.007,-59.1058,90.0,top
